Wavelength,Filler,Intensity,
  570.79781,     1.00000,  1264.00000,
  570.86727,     1.00000,  1297.00000,
  570.93672,     1.00000,  1310.00000,
  571.00617,     1.00000,  1295.00000,
  571.07562,     1.00000,  1247.00000,
  571.14506,     1.00000,  1329.00000,
  571.21450,     1.00000,  1198.00000,
  571.28394,     1.00000,  1278.00000,
  571.35338,     1.00000,  1284.00000,
  571.42282,     1.00000,  1322.00000,
  571.49225,     1.00000,  1286.00000,
  571.56168,     1.00000,  1340.00000,
  571.63111,     1.00000,  1198.00000,
  571.70054,     1.00000,  1220.00000,
  571.76997,     1.00000,  1257.00000,
  571.83939,     1.00000,  1289.00000,
  571.90881,     1.00000,  1311.00000,
  571.97823,     1.00000,  1260.00000,
  572.04764,     1.00000,  1577.00000,
