  545.12338,     1.00000   417.81061
  545.19111,     1.00000   405.05560
  545.25884,     1.00000   406.00348
  545.32657,     1.00000   422.05820
  545.39430,     1.00000   404.22241
  545.46203,     1.00000   405.72980
  545.52975,     1.00000   398.47351
  545.59748,     1.00000   404.82669
  545.66521,     1.00000   452.05341
  545.73294,     1.00000   595.23022
  545.80067,     1.00000   711.73151
  545.86840,     1.00000   757.10687
  545.93612,     1.00000   751.48395
  546.00385,     1.00000   763.17023
  546.07158,     1.00000   759.18103
  546.13931,     1.00000   697.70398
  546.20704,     1.00000   566.41010
  546.27477,     1.00000   430.36594
  546.34249,     1.00000   358.55356
  546.41022,     1.00000   305.05600
  546.47795,     1.00000   268.92520
  546.54568,     1.00000   285.65494
  546.61341,     1.00000   263.34329
  546.68114,     1.00000   241.65913
  546.74887,     1.00000   249.70755
  546.81659,     1.00000   241.12984
  546.88432,     1.00000   236.51305
  546.95205,     1.00000   203.98695
  547.01978,     1.00000   197.70000
  547.08751,     1.00000   194.51477
  547.15524,     1.00000   173.73914
  547.22296,     1.00000   164.22609
  547.29069,     1.00000   186.06261
  547.35842,     1.00000   155.54086
  547.42615,     1.00000   166.04173
  547.49388,     1.00000   164.70609
  547.56161,     1.00000   154.00348
  547.62933,     1.00000   138.20348
  547.69706,     1.00000   156.83713
  547.76479,     1.00000   142.94287
  547.83252,     1.00000   141.47478
  547.90025,     1.00000   118.10783
  547.96798,     1.00000   126.32906
  548.03570,     1.00000   133.23007
  548.10343,     1.00000   124.56879
  548.17116,     1.00000   136.59731
  548.23889,     1.00000   145.81262
  548.30662,     1.00000   134.31270
  548.37435,     1.00000   125.98756
  548.44208,     1.00000   129.74548
  548.50980,     1.00000   136.89235
  548.57753,     1.00000   142.96170
  548.64526,     1.00000   136.49376
  548.71299,     1.00000   157.84293
  548.78072,     1.00000   144.02089
  548.84845,     1.00000   123.30287
  548.91617,     1.00000   122.08007
  548.98390,     1.00000   136.75023
  549.05163,     1.00000   146.70757
  549.11936,     1.00000   138.14621
  549.18709,     1.00000   161.79721
  549.25482,     1.00000   136.75893
  549.32254,     1.00000   167.70757
  549.39027,     1.00000   154.12532
  549.45800,     1.00000   134.67363
  549.52573,     1.00000   173.98607
  549.59346,     1.00000   139.33768
  549.66119,     1.00000   134.77458
  549.72891,     1.00000   151.67938
  549.79664,     1.00000   144.09868
  549.86437,     1.00000   142.01915
  549.93210,     1.00000   145.55367
  549.99983,     1.00000   129.28445
  550.06756,     1.00000   121.01432
  550.13529,     1.00000   118.60719
  550.20301,     1.00000   110.26912
  550.27074,     1.00000   119.67432
  550.33847,     1.00000   127.70973
  550.40620,     1.00000   111.27808
  550.47393,     1.00000    98.09299
  550.54166,     1.00000    88.29094
  550.60938,     1.00000    82.66662
  550.67711,     1.00000    99.82729
  550.74484,     1.00000    93.06620
  550.81257,     1.00000   100.61324
  550.88030,     1.00000    57.97213
  550.94803,     1.00000   107.77003
  551.01575,     1.00000    99.04268
  551.08348,     1.00000    55.11324
  551.15121,     1.00000    84.06795
  551.21894,     1.00000    95.30488
  551.28667,     1.00000    85.83450
  551.35440,     1.00000    79.89721
  551.42212,     1.00000    79.28571
  551.48985,     1.00000    80.88153
  551.55758,     1.00000    93.45644
  551.62531,     1.00000    93.76307
  551.69304,     1.00000    94.97573
  551.76077,     1.00000    89.75946
  551.82850,     1.00000    80.06446
  551.89622,     1.00000    81.81682
  551.96395,     1.00000    77.19102
  552.03168,     1.00000    76.92057
  552.09941,     1.00000    88.25371
  552.16714,     1.00000    87.78640
  552.23487,     1.00000    75.50977
  552.30259,     1.00000    71.24606
  552.37032,     1.00000    86.78878
  552.43805,     1.00000    93.55647
  552.50578,     1.00000    75.48736
  552.57351,     1.00000    91.36879
  552.64124,     1.00000    75.97594
  552.70896,     1.00000    69.93159
  552.77669,     1.00000    64.38622
  552.84442,     1.00000    68.02964
  552.91215,     1.00000    76.33479
  552.97988,     1.00000    83.07760
  553.04761,     1.00000    81.37402
  553.11533,     1.00000    83.26939
  553.18306,     1.00000    88.06451
  553.25079,     1.00000    79.56670
  553.31852,     1.00000    72.97733
