  546.27477,     1.00000   434.44492
  546.34249,     1.00000   396.76477
  546.41022,     1.00000   381.08044
  546.47795,     1.00000   378.08521
  546.54568,     1.00000   390.55835
  546.61341,     1.00000   385.36337
  546.68114,     1.00000   389.77826
  546.74887,     1.00000   409.27917
  546.81659,     1.00000   359.94519
  546.88432,     1.00000   372.44348
  546.95205,     1.00000   353.85654
  547.01978,     1.00000   367.80869
  547.08751,     1.00000   353.16522
  547.15524,     1.00000   348.44348
  547.22296,     1.00000   344.63828
  547.29069,     1.00000   314.36609
  547.35842,     1.00000   341.79913
  547.42615,     1.00000   363.19653
  547.49388,     1.00000   367.43826
  547.56161,     1.00000   380.93393
  547.62933,     1.00000   356.74435
  547.69706,     1.00000   348.66504
  547.76479,     1.00000   345.17929
  547.83252,     1.00000   339.79828
  547.90025,     1.00000   346.23825
  547.96798,     1.00000   356.05112
  548.03570,     1.00000   353.34717
  548.10343,     1.00000   349.09644
  548.17116,     1.00000   334.76355
  548.23889,     1.00000   326.78036
  548.30662,     1.00000   337.42770
  548.37435,     1.00000   347.25812
  548.44208,     1.00000   354.37408
  548.50980,     1.00000   336.08173
  548.57753,     1.00000   339.35596
  548.64526,     1.00000   353.50665
  548.71299,     1.00000   347.58185
  548.78072,     1.00000   324.99216
  548.84845,     1.00000   333.73367
  548.91617,     1.00000   344.66055
  548.98390,     1.00000   351.92865
  549.05163,     1.00000   339.26370
  549.11936,     1.00000   350.67886
  549.18709,     1.00000   355.40906
  549.25482,     1.00000   360.98172
  549.32254,     1.00000   372.71017
  549.39027,     1.00000   372.17755
  549.45800,     1.00000   357.36292
  549.52573,     1.00000   388.62488
  549.59346,     1.00000   386.68060
  549.66119,     1.00000   370.80417
  549.72891,     1.00000   385.85931
  549.79664,     1.00000   359.13284
  549.86437,     1.00000   343.43777
  549.93210,     1.00000   354.75925
  549.99983,     1.00000   359.29730
